,CODE,ProdHRisk,Atotal,pRegARisk,Ntype,Ngroup,RetOnCap,LogATotal,RBCratio,year95,year96,year97,lagpRegARisk,lagProdHRisk,CARatio,lagCAratio
14698,87955,-0.023782401,3713008,0.035584808,1,0,0.088294332,15.12735289,946.7830247,0,0,0,0.03623929,0.227313875,0.54581299,0.548321699
14699,87955,-0.006744706,4437003,0.048413168,1,0,0.199105492,15.30548971,651.6522565,1,0,0,0.035584808,-0.023782401,0.572446086,0.54581299
14700,87955,-0.001554483,5212278,0.048009499,1,0,0.111533982,15.46652755,808.2639574,0,1,0,0.048413168,-0.006744706,0.565506483,0.572446086
14701,87955,-0.000263442,5552519,0.108681431,1,0,0.191737325,15.52976226,434.0870883,0,0,1,0.048009499,-0.001554483,0.51897328,0.565506483
14702,87955,0,7435775,0.183761675,1,0,0.088222737,15.82181337,288.7775133,0,0,0,0.108681431,-0.000263442,0.532962872,0.51897328
14703,87955,0,7948030,0.087678214,1,0,0.263691779,15.88843466,403.33785,0,0,0,0.183761675,0,0.496606077,0.532962872
14704,87963,0.292377011,5770571,0.003718941,1,0,0.06241844,15.56828159,1657.949639,0,0,0,0.003718941,0.292377011,0.955470611,0.955470611
14705,87963,0.739841212,6377455,0.003764502,1,0,0.054366704,15.66827967,4639.411435,0,0,0,0.003718941,0.292377011,0.909702068,0.955470611
14706,87963,0.867001375,7693917,0.00299789,1,0,0.125219316,15.85594057,2163.681759,1,0,0,0.003764502,0.739841212,0.865605777,0.909702068
14707,87963,0.903713345,9534495,0.002998189,1,0,0.073297062,16.07042683,1095.733973,0,1,0,0.00299789,0.867001375,0.753541745,0.865605777
14708,87963,0.928620712,11587164,0.002998425,1,0,0.143791713,16.26540849,645.6670435,0,0,1,0.002998189,0.903713345,0.632823873,0.753541745
14709,87963,0.911565631,17339523,0.00324595,1,0,0.070047305,16.66849902,593.8283295,0,0,0,0.002998425,0.928620712,0.584834254,0.632823873
14710,87963,0.905487665,25028157,0.003738587,1,0,0.161303998,17.03551203,439.5888991,0,0,0,0.00324595,0.911565631,0.332134484,0.584834254
14711,87963,0.933520266,33749427,0.003715556,1,0,0.145706343,17.334474,377.8635744,0,0,0,0.003738587,0.905487665,0.260775301,0.332134484
14712,87963,0.943657237,45119746,0.006015301,1,0,0.094524331,17.62483054,344.9238296,0,0,0,0.003715556,0.933520266,0.2005037,0.260775301
14713,87963,0.951291923,63254586,0.003202673,1,0,0.144867747,17.96267819,389.7955696,0,0,0,0.006015301,0.943657237,0.190413008,0.2005037
14714,87963,0.956647333,81519258,0.003019832,1,0,0.140348975,18.21634984,423.584077,0,0,0,0.003202673,0.951291923,0.160439022,0.190413008
14715,87963,0.962195225,105994136,0.003334504,1,0,0.187683836,18.47889433,501.6734766,0,0,0,0.003019832,0.956647333,0.161174171,0.160439022
14716,87963,0.966603515,134625153,0.004328146,1,0,0.164562534,18.71800483,532.9511113,0,0,0,0.003334504,0.962195225,0.152189762,0.161174171
14717,87963,0.970899733,166316328,0.004709849,1,0,0.155938804,18.92940212,557.2483605,0,0,0,0.004328146,0.966603515,0.148902247,0.152189762
14718,87963,0.97441344,198081333,0.00660124,1,0,0.064093812,19.10418828,504.8632176,0,0,0,0.004709849,0.970899733,0.135666651,0.148902247
14719,87963,0.977239797,229362736,0.007218117,1,0,-0.040572945,19.25081531,441.9379336,0,0,0,0.00660124,0.97441344,0.119986182,0.135666651
14720,87980,1,1719990,0.003,1,0,-0.024333263,14.35782903,294.7744955,0,0,0,0.003,1,0.678900459,0.678900459
14721,87980,1,1661873,0.003,1,0,0.116567247,14.32345584,373.0983774,0,0,0,0.003,1,0.794481889,0.678900459
14722,87980,1,1675882,0.003,1,0,0.178514822,14.33185015,442.0651419,1,0,0,0.003,1,0.941548987,0.794481889
14723,87980,1,1976921,0.003,1,1,-0.029574182,14.49705114,380.9791636,0,1,0,0.003,1,0.763403292,0.941548987
14724,87980,1,1728737,0.000125743,1,1,-0.428031441,14.36290164,301.8921304,0,0,1,0.003,1,0.645040281,0.763403292
14725,87980,1,1990590,0.003,1,1,0.196421055,14.50394164,307.4574947,0,0,0,0.003,1,0.810335127,0.810335127
14726,88030,1,323180,0,0,1,0.10618306,12.68596472,4173.30641,0,1,0,0.003,1,0.99122161,0.810335127
14727,88030,1,357389,0.003,0,1,0.095192799,12.7865801,4318.393467,0,0,1,0,1,0.991303594,0.99122161
14728,88030,1,396423,0.003,0,1,0.098307917,12.8902371,4306.07916,0,0,0,0.003,1,0.993469097,0.991303594
14729,88030,1,421315,0.003,0,1,0.057949831,12.95113605,27.86715094,0,0,0,0.003,1,0.995407237,0.993469097
14730,88030,1,460302,0.003,0,1,0.087194192,13.03963807,626.4737245,0,0,0,0.003,1,0.995548575,0.995407237
14731,88030,1,474435,0.003,0,1,0.029915812,13.0698799,647.9350643,0,0,0,0.003,1,0.99794914,0.995548575
14732,88030,1,191435,0.003,0,1,-1.487270416,12.1623036,250.9214585,0,0,0,0.003,1,0.994300938,0.99794914
14733,88030,1,211681,0.003,0,1,0.084357344,12.2628357,281.5203889,0,0,0,0.003,1,0.984944327,0.994300938
14734,88064,0,8883851,0.034658488,1,1,0.121383731,15.99974569,1352.122684,0,0,0,0.034658488,0,0.594192091,0.594192091
14735,88064,0,9320266,0.039639131,1,1,0.087704142,16.04770173,1169.952359,0,0,0,0.034658488,0,0.568073486,0.594192091
14736,88064,0,12478021,0.035293697,1,1,0.235078464,16.33947933,133.2729343,1,0,0,0.039639131,0,0.438312774,0.568073486
14737,88064,0,13109544,0.043969024,1,1,0.140181204,16.38885107,294.589965,0,1,0,0.035293697,0,0.461907066,0.438312774
14738,88064,0,10949331,0.029749909,1,1,0.195962848,16.20878892,354.2179825,0,0,1,0.043969024,0,0.604364504,0.461907066
14739,88064,0,8552994,0.025551614,1,1,0.096337789,15.96179196,908.2422936,0,0,0,0.029749909,0,0.736784335,0.604364504
14740,88064,0,8269597,0.119150052,1,1,0.02923912,15.92809634,1587.491273,0,0,0,0.025551614,0,0.736869886,0.736784335
14741,88064,0,8492785,0.114034416,1,1,0.054224798,15.95472754,356.4610833,0,0,0,0.119150052,0,0.7485654,0.736869886
14742,88064,0.963723418,10765667,0.092183328,1,1,0.071651082,16.19187265,270.4014756,0,0,0,0.114034416,0,0.623377818,0.7485654
14743,88064,0.977246201,11171629,0.094529461,1,1,0.0477507,16.228888,304.9293417,0,0,0,0.092183328,0.963723418,0.637503089,0.623377818
14744,88064,0.979695361,11827936,0.107213439,1,1,0.046605282,16.28597475,352.3566578,0,0,0,0.094529461,0.977246201,0.659234037,0.637503089
14745,88064,0.981667087,8940046,0.02560866,1,1,-0.04171504,16.00605129,247.9408796,0,0,0,0.107213439,0.979695361,0.492335945,0.659234037
14746,88064,0.884262685,5235849,0.03530406,1,1,-0.247624074,15.47103957,666.8418462,0,0,0,0.02560866,0.981667087,0.657235149,0.492335945
14747,88064,0.81542135,5841299,0.032571356,1,1,-0.034577199,15.58046376,1900.194131,0,0,0,0.03530406,0.884262685,0.705465856,0.657235149
14748,88064,0.034157468,15558126,0.149776933,1,1,-0.050294246,16.56009363,236.7733797,0,0,0,0.032571356,0.81542135,0.67472927,0.705465856
14749,88064,0.019851177,19752981,0.103499995,1,1,-0.03475117,16.79881497,1525.054848,0,0,0,0.149776933,0.034157468,0.463813842,0.67472927
14750,88072,0.031985207,28970493010,0.007886076,1,1,0.083755445,24.08954367,266.1226382,0,0,0,0.007886076,0.031985207,0.030564511,0.030564511
14751,88072,0.024359359,36835524164,0.00709518,1,1,0.054255662,24.32972855,261.2648761,0,0,0,0.007886076,0.031985207,0.028308912,0.030564511
14752,88072,0.027482399,46640677616,0.009659384,1,1,0.053076586,24.56573891,258.0716871,1,0,0,0.00709518,0.024359359,0.02747196,0.028308912
14753,88072,0.041163904,52274381600,0.01059884,1,1,0.04932269,24.67977225,288.8416244,0,1,0,0.009659384,0.027482399,0.026963414,0.02747196
14754,88072,0.043183379,62823886393,0.011833532,1,1,0.083525538,24.86360119,298.1642805,0,0,1,0.01059884,0.041163904,0.02546366,0.026963414
14755,88072,0.045061924,73782837900,0.015458778,1,1,0.077633476,25.02439199,318.2803499,0,0,0,0.011833532,0.043183379,0.025019481,0.02546366
14756,88072,0.063813542,80353187913,0.019143607,1,1,0.049565785,25.1096976,354.758535,0,0,0,0.015458778,0.045061924,0.025897659,0.025019481
14757,88072,0.037820388,83879710481,0.018859837,1,1,0.11879812,25.15264959,288.8502335,0,0,0,0.019143607,0.063813542,0.026271683,0.025897659
14758,88072,0.043704258,86261554823,0.019859285,1,1,0.068936787,25.18064985,410.0334403,0,0,0,0.018859837,0.037820388,0.030248978,0.026271683
14759,88072,0.04492845,87121876940,0.01971694,1,1,-0.026494059,25.19057386,327.5041033,0,0,0,0.019859285,0.043704258,0.028334958,0.030248978
14760,88072,0.034474115,99876014641,0.022518382,1,1,0.158897232,25.3271954,393.248955,0,0,0,0.01971694,0.04492845,0.032883236,0.028334958
14761,88072,0.027376088,1.13E+11,0.023378836,1,1,0.154692019,25.44942504,402.7129626,0,0,0,0.022518382,0.034474115,0.030680357,0.032883236
14762,88072,0.029635088,1.21E+11,0.023721213,1,1,0.051193723,25.51566324,454.5856442,0,0,0,0.023378836,0.027376088,0.027781545,0.030680357
14763,88072,0.028713266,1.46E+11,0.025855528,1,1,0.148343372,25.70877283,463.1670171,0,0,0,0.023721213,0.029635088,0.025483829,0.027781545
14764,88072,0.021402149,1.66E+11,0.031217766,1,1,0.038827757,25.83524087,513.175812,0,0,0,0.025855528,0.028713266,0.029708773,0.025483829
14765,88072,0.036026495,1.34E+11,0.027399591,1,1,-0.615167659,25.61783512,453.8916955,0,0,0,0.031217766,0.021402149,0.030832714,0.029708773
14766,88080,-0.000462611,592747812,0.001800193,1,1,0.124313641,20.20027959,777.2828806,0,0,0,0.001800193,-0.000462611,0.186260456,0.186260456
14767,88080,-5.36E-05,921268005,0.004675137,1,1,0.023446905,20.64126155,636.8711786,0,0,0,0.001800193,-0.000462611,0.141348848,0.186260456
14768,88080,0.014657499,310322613,0.021231748,1,1,0.270105948,19.553123,244.5559516,1,0,0,0.004675137,-5.36E-05,0.101191549,0.141348848
14769,88080,0.550588871,130145563,0.009133864,1,1,0.516502164,18.6841641,725.801203,0,1,0,0.021231748,0.014657499,0.307003574,0.101191549
14770,88080,0.159190446,137879606,0.053447247,1,1,0.250714809,18.74189144,764.2140975,0,0,1,0.009133864,0.550588871,0.368289949,0.307003574
14771,88080,0.160227432,111473302,0.066699668,1,1,0.150090265,18.52929568,886.6213293,0,0,0,0.053447247,0.159190446,0.508170808,0.368289949
14772,88080,0.24101615,127371456,0.067467704,1,1,0.038469166,18.66261823,841.5250165,0,0,0,0.066699668,0.160227432,0.463653379,0.508170808
